School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.459879335,0.90381176,1,0.978957153781701,0
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,0.586098499,1.52030285,1,0.978799631031657,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.415186629,1.073966193,1,0.9786938616101443,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.41604037,1.06922244,1,0.978657874491816,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.196090046,1.362691022,1,0.9785690409702589,0
4,3,20,,,4,22,1,1,13.64,13.64,-4.51e-16,1.461080308,1,0.9785381435280701,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,1.442685739,0.90298738,1,0.9780409948720621,0
8,4,45,30.0,1.0,4,18,2,1,16.67,11.11,-0.343592135,1.381434751,1,0.9775880062012837,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.418606065,0.969969062,1,0.9774192011037939,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.632927258,1.498754148,1,0.9774001070733006,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.001468649,1.432968885,1,0.9773219868437024,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.82208129,1.477207002,1,0.97724522487114,0
5,2,22,40.0,2.0,3,19,1,1,21.05,21.06,1.022652076,1.416726628,1,0.9769059163304716,0
5,2,22,40.0,2.0,3,19,2,1,21.05,21.06,1.022652076,1.416726628,1,0.9769059163304716,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,1.089603145,1.382249806,1,0.9767146476041174,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,1.130913332,1.35788829,1,0.9766690004606653,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.418606065,0.698377725,1,0.9758094016017579,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.166018445,1.311532687,1,0.9757287923302577,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.373288572,1.012909369,1,0.9756844494151665,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.346620689,1.037205866,1,0.9747499362816213,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.171387762,1.276282829,1,0.9744658971932738,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.257013559,1.180806285,1,0.9742620430666825,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.030816632,1.360087728,1,0.974191259414453,0
8,5,46,30.0,1.0,5,22,2,1,22.73,9.09,1.041666916,1.352649606,1,0.9740822070170906,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.367967119,0.846303945,1,0.9731024897716573,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,0.745257689,1.4179313,1,0.9724103638871598,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.035036971,1.323359453,1,0.9723573066041118,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.300991989,1.432739976,1,0.97235049048399,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,0.796451452,-1.171005535,1,0.971573373144742,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1,0.9712712823463445,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1,0.9712712823463445,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.263581677,1.07158427,1,0.9712173165623089,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.670820393,1.402989967,1,0.9703801519366944,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,1.310510728,1,0.9703305181647291,0
5,3,23,50.0,3.0,4,20,2,2,10.0,10.0,0.696953363,1.382249806,1,0.9689804872801554,0
8,2,43,40.0,2.0,3,16,1,1,25.0,25.0,0.625461185,1.389216538,1,0.9687261231299564,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.912669294,1,0.9676609664514659,0
