School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,0.961673933,1.040867752,0.9854320786999999,1,0.9812888478762145,0
7,7,40,20.0,0.0,6,22,2,1,22.73,4.55,0.986119126,0.964716126,0.9796982259999999,1,0.9809112939141507,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,0.892428948,1.164792256,0.9741379403999999,1,0.980538002493586,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.018891521,0.838018543,0.9646296275999999,1,0.9798829292755399,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.076183912,0.698377725,0.9628420559,1,0.9797573730199197,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,0.658811531,1.641009868,0.9534710321,1,0.9790864427661595,0
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,1.063323782,0.691321979,0.9517232411,1,0.9789589090266563,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,0.745257689,1.4179313,0.9470597723,1,0.9786148682185087,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.865555046,1.137029659,0.9469974298999999,1,0.9786102317384049,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.152143059,0.46512152,0.9460365972999999,1,0.9785386483504936,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,0.991900927,0.831340191,0.9437327061999999,1,0.9783660445993468,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,0.96223045,0.896814446,0.9426056487999999,1,0.9782811110755022,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.875241032,1.06922244,0.9334354544000001,1,0.9775777717469514,0
9,3,51,20.0,0.0,4,24,1,2,29.17,4.17,0.892428948,0.993289102,0.9226869942,1,0.9767248785811236,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,0.892428948,0.993289102,0.9226869942,1,0.9767248785811236,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,0.832449074,1.125895075,0.9204828743,1,0.9765460878625053,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,0.752486805,0.9192848882,1,0.976448346922698,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,0.752486805,0.9192848882,1,0.976448346922698,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,0.286596358,0.9140390326,1,0.976015624570798,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.293400663,0.9132242477999999,1,0.9759477185677651,0
