School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,29.372235093,22.451196204,1.0328803807,1,0.9841431337497336,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,26.916928028999997,28.120524786000004,1.0308896729,1,0.9840325278020284,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,27.093967802999998,27.623001960000003,1.0280753389,1,0.9838748577822074,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,29.088221670000003,22.95872937,1.02770822,1,0.9838541771963746,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,29.005893081,23.130091764,1.0270169651,1,0.9838151661616108,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,27.311174901,26.992761552,1.0239612107,1,0.9836415952301196,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,26.667750402000003,28.431070776,1.0218607238,1,0.9835212192185502,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,25.39873161,31.294863018,1.0186190036,1,0.983333720860626,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,27.030476367,27.439368848999997,1.0170160123999998,1,0.9832402279657324,0
6,4,32,30.0,1.0,5,23,2,1,26.09,26.09,26.453761524,28.627256565000003,1.0117566707,1,0.9829298289836408,0
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,26.791477478999997,27.773375463000004,1.0095607638,1,0.982798555820482,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,26.379019107,28.640197043999997,1.0063747208999998,1,0.9826063174567904,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,24.954627789,31.935190572000003,1.0054218470999998,1,0.982548412369104,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,26.139950487,29.09024838,1.0027822061,1,0.9823870087935392,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,29.452831128,21.133184283,0.9952152305,1,0.981916109101211,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,25.934601348,29.104032501,0.9872700771,1,0.981408308338675,0
9,6,54,30.0,1.0,6,21,1,2,38.1,9.52,26.843150439,26.963905679999996,0.9865974457,1,0.9813646782396052,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,26.655065397,27.367809768,0.9854320787,1,0.9812888478762144,0
7,7,40,20.0,0.0,6,22,2,1,22.73,4.55,26.875072133999996,26.682445134,0.979698226,1,0.9809112939141508,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,26.031860532000003,28.483130303999996,0.9741379404,1,0.980538002493586,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,27.170023688999997,25.542166887,0.9646296276,1,0.97988292927554,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,27.685655208,24.285399525000003,0.9628420559,1,0.9797573730199196,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,23.929303779,32.769088812,0.9534710321,1,0.9790864427661596,0
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,27.569914038,24.221897811,0.9517232411,1,0.9789589090266564,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,24.707319201,30.7613817,0.9470597723,1,0.9786148682185088,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,25.789995414000003,28.233266931000003,0.9469974299,1,0.9786102317384048,0
