Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
4,2,2,22.73,9.09,3.4,1.6
4,1,1,22.73,9.09,5.8,5.4
4,1,1,22.73,9.09,4.8,4.4
4,2,1,22.73,9.09,2.8,2.8
4,1,1,22.73,9.09,3.4,2
4,1,1,22.73,9.09,4.4,2.6
4,1,1,22.73,9.09,5.8,3.6
4,1,1,22.73,9.09,5.8,4.4
4,1,1,22.73,9.09,5.8,5.4
4,1,1,22.73,9.09,5.8,6
4,2,1,22.73,9.09,2.8,1.6
4,2,1,13.64,13.64,2.2,3.2
4,1,1,13.64,13.64,4.2,2.6
4,2,1,13.64,13.64,2,2.4
4,1,1,13.64,13.64,2.4,2
4,1,1,13.64,13.64,3.4,4.4
4,1,1,13.64,13.64,3.4,4.6
4,1,1,13.64,13.64,3.6,3.6
4,1,1,13.64,13.64,5.8,3
4,1,1,13.64,13.64,3,2.8
4,1,1,13.64,13.64,2.6,2.8
4,1,1,13.64,13.64,3.4,2.8
4,1,1,13.64,13.64,3,2.2
4,1,1,13.64,13.64,2.8,2.4
4,1,1,13.64,13.64,2.8,3
4,1,1,13.64,13.64,2.6,2.4
4,2,1,13.64,13.64,2.6,3
4,1,1,13.64,13.64,4,4.2
4,1,1,13.64,13.64,5,4.8
4,1,1,13.64,13.64,3.2,4.6
4,1,1,13.64,13.64,3.4,3
4,1,1,13.64,13.64,5,4
4,1,1,13.64,13.64,4.4,4.6
3,1,1,23.81,23.81,3.2,1.8
3,1,1,23.81,23.81,1.4,2
3,1,1,23.81,23.81,1.8,1.8
3,1,1,23.81,23.81,1,1
3,2,2,23.81,23.81,2.8,2.6
3,2,1,23.81,23.81,3.8,4
3,1,1,23.81,23.81,5.4,3.2
3,2,1,23.81,23.81,4.2,4.4
3,1,1,23.81,23.81,3.8,2.2
3,1,1,23.81,23.81,4,2.4
3,2,1,23.81,23.81,2,1.8
3,2,1,23.81,23.81,4.2,2.8
3,1,1,23.81,23.81,3.6,4
3,1,1,23.81,23.81,4.6,4.8
3,1,1,23.81,23.81,5,5
3,1,1,23.81,23.81,3.2,3.6
3,1,1,23.81,23.81,2.8,3
3,1,1,23.81,23.81,4.4,4.4
3,1,1,23.81,23.81,4,3.4
3,1,1,23.81,23.81,3,3
3,1,1,23.81,23.81,2.6,2.6
3,1,1,21.05,21.06,2.2,1.8
3,1,1,21.05,21.06,2.4,2
3,1,2,21.05,21.06,3.2,2.6
3,1,1,21.05,21.06,4.4,3.8
3,1,1,21.05,21.06,4,2.2
3,1,1,21.05,21.06,2.8,3
3,2,1,21.05,21.06,3.8,3.8
3,1,1,21.05,21.06,3,3.2
3,1,1,21.05,21.06,3,3.2
3,1,1,21.05,21.06,3,2.8
3,1,2,21.05,21.06,2.4,3
3,1,1,21.05,21.06,3.2,3.4
3,1,1,21.05,21.06,3.8,3.8
3,1,2,21.05,21.06,3,2.8
3,2,1,21.05,21.06,3.2,2.6
3,1,1,21.05,21.06,3,2.6
3,1,1,21.05,21.06,3.4,2.6
3,2,1,21.05,21.06,3,2.8
3,2,2,21.05,21.06,1,1
4,1,1,10,10,4.8,4.6
4,1,1,10,10,5,4.8
4,1,1,10,10,2,2.4
4,1,1,10,10,4.8,4.6
4,1,1,10,10,3.6,3.6
4,1,1,10,10,3,3.4
4,2,1,10,10,2.2,2.8
4,1,1,10,10,3.4,3.6
4,1,1,10,10,2.6,3.2
4,1,1,10,10,2.8,3
4,1,1,10,10,5,5.2
4,1,1,10,10,3.6,3.6
4,1,1,10,10,4,3.8
4,2,2,10,10,4.6,5.2
4,1,1,10,10,4.4,4.6
4,1,1,10,10,4.2,4.6
4,1,2,10,10,3.8,3.6
4,1,1,10,10,4.6,4.6
4,1,1,10,10,3.6,3.4
4,1,1,10,10,5.8,5.4
