School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,-1.6554239681172502,-1.157302301111854
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.2049684665887466,-1.3454815370650008
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.5292852142959921,-0.4045853572992658
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.07882971276748839,0.7244900584196164
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,1.2725367918180215,0.5363108224664692
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.07882971276748839,-0.9691230651587068
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,0.14639803799676343,-0.21640612134611903
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.2049684665887466,-1.157302301111854
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.14639803799676343,0.9126692943727627
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.8220812902895179,0.7244900584196164
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.4301962173529983,-1.533660773018148
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.5292852142959921,0.15995235056017487
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,-0.30405746353174024,-0.028226885392971867
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.07882971276748839,-0.028226885392971867
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.948220044110776,2.229923946044792
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.7545129650602433,-0.5927645932524129
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-1.0470898313505947,-1.0863631091527965
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308433826,0.6913219785517799
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.3717688488236475,-0.8888425438522881
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.0470898313505947,-1.283883674453305
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,-0.5600713051410157,0.49380141325127125
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.39773179640448963,-0.09876028265025433
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.8847503226140684,-0.29628084795076254
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.7386447647511944,0.296280847950763
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.7386447647511944,0.6913219785517799
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308433826,1.481404239753814
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.3880027996972994,1.8764453703548305
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-0.39773179640448963,-0.6913219785517795
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.39773179640448963,-0.49380141325127125
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,0.5763052560146683,0.49380141325127125
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.5341083575601737,-1.8764453703548305
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.5600713051410157,-0.6913219785517795
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-0.7224108138775421,-1.0863631091527965
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.7386447647511944,0.6913219785517799
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.5763052560146683,1.0863631091527968
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,1.0633237822242474,0.6913219785517799
3,2,13,,,4,22,2,1,40.9,13.64,-1.263445020312143,-1.589253590156295
3,2,13,,,4,22,1,1,40.9,13.64,-0.6819431281182698,-0.9168770712440165
3,2,13,,,4,22,1,1,40.9,13.64,1.1788629269021247,0.6968265741454521
3,2,13,,,4,22,1,1,40.9,13.64,1.1788629269021247,0.2934006627980847
3,2,13,,,4,22,1,1,40.9,13.64,-0.1004412359243966,-0.1100252485492822
3,2,13,,,4,22,2,2,40.9,13.64,-0.9145438849958191,-1.0513523750264722
3,2,13,,,4,22,1,1,40.9,13.64,0.7136614131470261,0.9657771817103632
3,2,13,,,4,22,2,1,40.9,13.64,-0.7982435065570445,-1.589253590156295
3,2,13,,,4,22,2,2,40.9,13.64,-1.0308442634345938,-1.0513523750264722
3,2,13,,,4,22,1,1,40.9,13.64,-1.263445020312143,-1.185827678808928
3,2,13,,,4,22,1,1,40.9,13.64,1.6440644406572231,1.2347277892752748
3,2,13,,,4,22,1,1,40.9,13.64,-0.21674161436317135,0.5623512703629963
3,2,13,,,4,22,1,1,40.9,13.64,1.5277640622184483,1.2347277892752748
3,2,13,,,4,22,1,1,40.9,13.64,-0.33304199280194585,0.4278759665805405
3,2,13,,,4,22,2,1,40.9,13.64,0.8299617915858003,0.8313018779279073
3,2,13,,,4,22,1,1,40.9,13.64,-0.9145438849958191,0.024450055233173323
3,2,13,,,4,22,2,1,40.9,13.64,0.01585914251437814,0.5623512703629963
3,2,13,,,4,22,2,1,40.9,13.64,0.36476027783070186,0.5623512703629963
3,2,13,,,4,22,1,2,40.9,13.64,1.4114636837796735,1.3692030930577306
3,2,13,,,4,22,2,1,40.9,13.64,-0.9145438849958191,-0.6479264636791052
3,2,13,,,4,22,1,1,40.9,13.64,0.7136614131470261,0.8313018779279073
3,2,13,,,4,22,2,1,40.9,13.64,-1.1471446418733684,-1.4547782863738392
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.43258979926740465,-0.48760534063301403
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.853956282574592,-2.049176874558997
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,0.1359567940554703,0.2221999020606144
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,0.42023009071690803,1.0739661932929687
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.14831650260596718,0.7900440962155171
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.5747264475981235,0.3641609505993402
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.415186629031939,1.0739661932929687
3,3,14,20.0,0.0,5,23,1,2,26.09,4.3,1.6994599256933767,-1.7652547774815455
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.43258979926740465,0.7900440962155171
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.853956282574592,-2.049176874558997
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277362658,1.215927241831694
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.8589997442595609,-0.7715274377104657
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.43258979926740465,-0.20368324355556272
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,0.27809344238618916,0.6480830476767913
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-0.2904531509366857,0.3641609505993402
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.0061798542752482906,-0.20368324355556272
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,1.1309133323705018,1.3578882903704197
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277362658,0.7900440962155171
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.0061798542752482906,0.0802388535218886
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.2904531509366857,-0.06172219501683722
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.0011363925902794,-0.7715274377104657
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.7168630959288421,-0.7715274377104657
