School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
1,3,3,20,0,6,21,1,1,19.05,9.52,1.166018445,1.311532687,1.209672718,1,0.991460804,0,3.869659038,4.326039195
7,5,38,30,1,5,21,1,1,23.8,9.5,1.263581677,1.07158427,1.205982455,1,0.991349567,0,3.965932573,4.060368365
2,5,10,20,0,6,19,1,1,15.79,42.1,1.171387762,1.276282829,1.202856282,1,0.991254205,0,3.874957377,4.28701056
7,4,37,30,1,4,21,1,1,23.8,0,1.418606065,0.698377725,1.202537563,1,0.991244425,0,4.11890768,3.647154167
4,1,18,30,1,3,25,1,1,20,8,1.48432281,0.540450563,1.201161136,1,0.991202059,0,4.18375571,3.472297251
3,3,14,20,0,5,23,2,1,26.09,4.3,1.130913332,1.35788829,1.199005819,1,0.99113531,0,3.835017982,4.377364107
9,6,54,30,1,6,21,2,1,38.1,9.52,0.982572271,1.678025822,1.191208336,1,0.990889583,0,3.688637854,4.731820306
1,3,3,20,0,6,21,1,1,19.05,9.52,0.905524962,1.827948683,1.182252078,1,0.990598961,0,3.61260904,4.897814862
5,4,24,20,0,4,19,1,1,5.26,0,0.963083378,1.691777608,1.181691647,1,0.990580472,0,3.669406587,4.747046281
5,3,23,50,3,4,20,1,1,10,10,1.089603145,1.382249806,1.177397143,1,0.990437585,0,3.794253878,4.404337172
5,6,26,30,1,5,22,1,1,4.54,9.09,1.000261387,1.56150596,1.168634759,1,0.990139318,0,3.706093136,4.602809543
2,6,11,30,1,6,20,1,1,15,20,1.272536792,0.912669294,1.164576543,1,0.989998059,0,3.97476931,3.884417741
4,3,20,,,4,22,1,1,13.64,13.64,1.016594593,1.461080308,1.149940308,1,0.989471676,0,3.722210432,4.491618285
1,1,1,40,2,6,20,1,1,5,10,0.925841821,1.65827964,1.145573167,1,0.989309344,0,3.632657329,4.709957338
5,2,22,40,2,3,19,1,1,21.05,21.06,1.022652076,1.416726628,1.140874442,1,0.989131907,0,3.728187841,4.442509901
5,2,22,40,2,3,19,2,1,21.05,21.06,1.022652076,1.416726628,1.140874442,1,0.989131907,0,3.728187841,4.442509901
1,5,5,30,1,5,20,1,1,36.84,5.2,1.137382251,1.137029659,1.137276473,1,0.988994062,0,3.841401388,4.132829484
3,5,16,30,1,5,22,1,1,18.18,4.55,1.141093471,1.124502754,1.136116256,1,0.988949242,0,3.845063549,4.118959697
8,5,46,30,1,5,22,2,1,22.73,9.09,1.041666916,1.352649606,1.134961723,1,0.988904462,0,3.746951322,4.371563838
1,5,5,30,1,5,20,1,1,36.84,5.2,1.001468649,1.432968885,1.13091872,1,0.988746223,0,3.70728444,4.460493324
7,5,38,30,1,5,21,1,1,23.8,9.5,1.030816632,1.360087728,1.129597961,1,0.988694045,0,3.736244469,4.379799324
9,6,55,20,0,6,20,1,1,30,5,1.257669535,0.81279283,1.124206523,1,0.988478548,0,3.960098584,3.773834544
2,2,7,40,2,3,19,1,1,5.26,63.15,1.145640701,1.06922244,1.122715223,1,0.988418224,0,3.849550669,4.057753347
3,6,17,30,1,4,22,1,1,9.1,9.09,1.035036971,1.323359453,1.121533716,1,0.988370208,0,3.740409019,4.339133787
9,6,55,20,0,6,20,1,1,30,5,0.931002123,1.551695402,1.117210107,1,0.988192808,0,3.637749417,4.591947295
5,6,26,30,1,5,22,1,1,4.54,9.09,1.204018336,0.913333675,1.116812938,1,0.988176378,0,3.907156605,3.885153343
9,5,53,30,1,5,20,1,1,5,20,0.92966968,1.514164162,1.105018025,1,0.98767796,0,3.636434587,4.550392715
7,7,40,20,0,6,22,1,1,22.73,4.55,1.158298656,0.964716126,1.100223897,1,0.987469464,0,3.862041297,3.942043981
1,4,4,40,2,5,21,1,1,33.33,4.76,0.903603073,1.548354508,1.097028504,1,0.987328556,0,3.610712557,4.588248258
4,2,19,30,1,4,22,1,1,22.73,9.09,1.182943036,0.887083965,1.094185315,1,0.987201859,0,3.886359901,3.856089671
7,1,34,30,1,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1.089875476,1,0.987007406,0,3.693860532,4.344161217
7,1,34,30,1,3,23,1,1,8.7,4.35,0.987864912,1.327900124,1.089875476,1,0.987007406,0,3.693860532,4.344161217
7,3,36,30,1,4,22,1,1,27.27,9.1,1.034574989,1.216842322,1.089255189,1,0.986979179,0,3.739953144,4.221198045
3,5,16,30,1,5,22,1,1,18.18,4.55,0.990769781,1.310510728,1.086692065,1,0.986861897,0,3.696727001,4.324907682
